Modelo,ECRPS_Estacionario,ECRPS_No_Estacionario,Diferencia,Cambio_%
Block Bootstrapping,0.5396123934146867,0.5424985555965013,0.002886162181814589,0.5348583941059712
Sieve Bootstrap,0.5418974578173613,0.7489279445783974,0.20703048676103608,38.2047348210319
LSPMW,0.7635654263809277,1.0900174805415768,0.32645205416064904,42.75364531732852
LSPM,0.730688849828017,1.091187062466481,0.36049821263846404,49.336761156724215
DeepAR,0.593546170671189,1.955193714610882,1.361647543939693,229.40886677778172
AV-MCPS,0.621466430625928,2.15920918032039,1.5377427496944618,247.43778165872607
MCPS,0.6265458465342421,2.5480988806291167,1.9215530340948748,306.6899325442832
EnCQR-LSTM,0.6738910039462143,3.6621806918834543,2.98828968793724,443.4381332349329
AREPD,0.7076673581473434,9.56696484185003,8.859297483702687,1251.9013886547093
