Modelo_Predictor,Tipo_Proceso,ECRPS_Mean,ECRPS_Std,N_Obs
AREPD,AR(1),0.9083473787559169,0.6908078139010919,220
AREPD,AR(2),0.6557367581913279,0.37610460746468666,220
AREPD,MA(1),0.685556996215668,0.39972738486050746,220
AREPD,MA(2),0.6236216773025877,0.32423552872751266,220
AREPD,"ARMA(1,1)",0.6724131891215411,0.3526695798021732,220
AREPD,"ARMA(2,2)",0.7003281492970186,0.4167837770914716,220
AV-MCPS,AR(1),0.6793827958982211,0.5205503965324805,220
AV-MCPS,AR(2),0.5871767492224119,0.29530131338263504,220
AV-MCPS,MA(1),0.6280778288490564,0.3462115714248579,220
AV-MCPS,MA(2),0.5946633897984742,0.2936718124565786,220
AV-MCPS,"ARMA(1,1)",0.6199761240515923,0.34828162473323,220
AV-MCPS,"ARMA(2,2)",0.6195216959358123,0.33286318135520937,220
Block Bootstrapping,AR(1),0.5370221398669921,0.26750537384934714,220
Block Bootstrapping,AR(2),0.5404127551730327,0.2692877148934671,220
Block Bootstrapping,MA(1),0.5479571073717128,0.2711400884376201,220
Block Bootstrapping,MA(2),0.5366635949554633,0.26569736684794837,220
Block Bootstrapping,"ARMA(1,1)",0.537485257250203,0.2684298869833418,220
Block Bootstrapping,"ARMA(2,2)",0.5381335058707165,0.2683988238052588,220
DeepAR,AR(1),0.6402846837284076,0.32796609253249337,220
DeepAR,AR(2),0.5806141859873927,0.2917760156433354,220
DeepAR,MA(1),0.5985656107352576,0.3216841005994562,220
DeepAR,MA(2),0.5707379827289629,0.28091711220932253,220
DeepAR,"ARMA(1,1)",0.5895427050125166,0.30061590287276335,220
DeepAR,"ARMA(2,2)",0.5815318558345964,0.2907011071007863,220
EnCQR-LSTM,AR(1),0.8748049968571703,0.5939384241816386,220
EnCQR-LSTM,AR(2),0.6086702081988351,0.31575814322991286,220
EnCQR-LSTM,MA(1),0.6532504034906458,0.3795785824581008,220
EnCQR-LSTM,MA(2),0.5809097304239985,0.30100544479717745,220
EnCQR-LSTM,"ARMA(1,1)",0.66151605919517,0.33616603082693997,220
EnCQR-LSTM,"ARMA(2,2)",0.6641946255114656,0.3565113381650484,220
LSPM,AR(1),0.7461203775484547,0.4373804853215309,220
LSPM,AR(2),0.7068090323161285,0.4418701807567679,220
LSPM,MA(1),0.7859755033427683,0.5286660584096625,220
LSPM,MA(2),0.6131366746537268,0.3223960253048167,220
LSPM,"ARMA(1,1)",0.7572863942485218,0.48641391361035585,220
LSPM,"ARMA(2,2)",0.7748051168585016,0.39984827049338356,220
LSPMW,AR(1),0.7909813541569376,0.49115348349040605,220
LSPMW,AR(2),0.738617080159214,0.4598277835285185,220
LSPMW,MA(1),0.8191415358877204,0.5594444907721466,220
LSPMW,MA(2),0.6336947249742685,0.3297448985330757,220
LSPMW,"ARMA(1,1)",0.7984001877600204,0.5231611877261486,220
LSPMW,"ARMA(2,2)",0.8005576753474057,0.41189529017339616,220
MCPS,AR(1),0.671252263077604,0.4000813028046661,220
MCPS,AR(2),0.6053841442076748,0.32034790272317387,220
MCPS,MA(1),0.60886307709716,0.3107439775901451,220
MCPS,MA(2),0.592082390626735,0.2969160285841758,220
MCPS,"ARMA(1,1)",0.6535892655200093,0.382540858320305,220
MCPS,"ARMA(2,2)",0.6281039386762693,0.3462552459033855,220
Sieve Bootstrap,AR(1),0.5439055887065976,0.2761593010878245,220
Sieve Bootstrap,AR(2),0.5407844565951886,0.2710887841221863,220
Sieve Bootstrap,MA(1),0.5485381708218491,0.27408879419281623,220
Sieve Bootstrap,MA(2),0.5365192110983809,0.26646837929060785,220
Sieve Bootstrap,"ARMA(1,1)",0.5382084795692537,0.26751049512436104,220
Sieve Bootstrap,"ARMA(2,2)",0.5434288401128979,0.2810068385201218,220
