Modelo,Distribución,ECRPS_Mean,ECRPS_Std,ECRPS_Min,ECRPS_Max
AREPD,normal,3.9394714327563247,13.565704880365931,0.2539832779491847,122.8321614363716
AREPD,uniform,3.1733201731429177,9.004262789203311,0.2593983001649469,74.25276158348801
AREPD,exponential,2.8496546316264637,6.456246541824531,0.2277138748567462,43.43450692243947
AREPD,t-student,2.7705593390332837,7.733811682872743,0.2439486643908499,59.75946015219772
AREPD,mixture,2.6820439342585045,9.339438087885473,0.2506476821537434,99.12040999435571
AV-MCPS,normal,1.4510536971390366,5.277474192490682,0.2529470416046034,61.8293195578096
AV-MCPS,uniform,0.9785246668697049,1.2526592868691717,0.2590388871238032,11.23090778005069
AV-MCPS,exponential,0.9679422163374045,1.5196838517568085,0.2232975618668053,17.87414076804984
AV-MCPS,t-student,0.8580077612266804,0.9395096317848219,0.2411039593393214,7.247029442006206
AV-MCPS,mixture,0.9331181126647703,1.3734597445606265,0.2474187526880891,13.91138158357103
Block Bootstrapping,normal,0.5678341608283877,0.2847674437034072,0.2484469803945628,1.302484652213113
Block Bootstrapping,uniform,0.5856534289280677,0.2950222165005894,0.256852847183855,1.759865837692485
Block Bootstrapping,exponential,0.5149197278953478,0.2661600599690862,0.2211261372418492,1.505195452436606
Block Bootstrapping,t-student,0.5472629467536926,0.28210411897169885,0.2385715821460646,1.811413302312742
Block Bootstrapping,mixture,0.5720659958913049,0.33069354909001625,0.2458055479649664,3.172213050261768
DeepAR,normal,0.9855759383233141,1.979863118124544,0.251834945906433,28.01041807600979
DeepAR,uniform,1.0888382591984278,2.735292570221442,0.2595241120358531,39.47170884393321
DeepAR,exponential,0.9272295549519061,1.8917260603990718,0.2292943890801501,35.87054081587035
DeepAR,t-student,0.8248449348181822,0.9581749817320111,0.2382627809325179,12.00545139389473
DeepAR,mixture,0.9895540405535854,2.059319685803463,0.2537294797859465,27.56772833694308
EnCQR-LSTM,normal,1.6919992275795488,3.502295622717522,0.2526393963864582,32.89161097204157
EnCQR-LSTM,uniform,1.5571959903277286,3.412025668558653,0.2591828738369187,35.6487209920347
EnCQR-LSTM,exponential,1.4686867457659485,2.5700723393231404,0.2261016884671226,19.59232076217215
EnCQR-LSTM,t-student,1.368846208137181,2.185131845658073,0.2400039932697309,16.06764557249038
EnCQR-LSTM,mixture,1.2568165756796015,1.7990899569005199,0.2476272868432795,18.63984221262119
LSPM,normal,0.8053298489889231,0.5803330353193374,0.2510188034811648,4.27849617622168
LSPM,uniform,0.8638271181661985,0.5967580764131775,0.2587996846384489,3.680701758935579
LSPM,exponential,0.7605555340747208,0.7341167931084143,0.2232601080105994,9.490062804699347
LSPM,t-student,0.7932100326886835,0.5734283802538804,0.2376936388744972,4.920847341696062
LSPM,mixture,0.8326471871320981,0.698204479524413,0.2461913114367619,7.288521848552564
LSPMW,normal,0.8298308252928344,0.5671821849978265,0.2524035554983271,4.164376892074378
LSPMW,uniform,0.8868483961148247,0.5992250662131061,0.2610196048550986,3.592963405840608
LSPMW,exponential,0.7866614305232644,0.7301500092438107,0.2234519414254572,9.814071362413896
LSPMW,t-student,0.8163678188237135,0.6077268490643467,0.2396986892642835,5.440325441568721
LSPMW,mixture,0.8524391305254616,0.6869775220135862,0.2469835049600121,6.952830016995038
MCPS,normal,1.558196112872665,5.033085467184447,0.2539857507427314,49.65270527338494
MCPS,uniform,1.1356122685947778,1.9371542421740098,0.2591905498767442,17.63728188255278
MCPS,exponential,1.0749388778432032,1.7247531099120723,0.229263206634032,12.54390446601338
MCPS,t-student,0.8937856320549971,1.0685869459715613,0.2408222522973639,7.542271560847434
MCPS,mixture,1.0622683562590138,2.538641838484081,0.2466662578602998,31.0563698303522
Sieve Bootstrap,normal,0.6151187851609876,0.3818300853265651,0.2486913894893349,3.8165395785246
Sieve Bootstrap,uniform,0.6256170744047794,0.36815499995206796,0.2572466846121015,2.455042174983224
Sieve Bootstrap,exponential,0.5715082455972174,0.3740702376286379,0.2209536572189499,3.689073380407589
Sieve Bootstrap,t-student,0.6364949496194474,1.5118856677285002,0.2363698248949432,34.34107918488723
Sieve Bootstrap,mixture,0.6262444862756064,0.5018229978382558,0.2456734472104529,5.673007692476562
