Modelo,Varianza,ECRPS_Mean,ECRPS_Std
AREPD,0.2,1.2405313695943976,3.144481283109035
AREPD,0.5,2.270259570659099,6.6073462992215815
AREPD,1.0,3.005340397985772,7.270356360447641
AREPD,3.0,5.8159082704147265,15.678472965319758
AV-MCPS,0.2,0.4313507466655138,0.5912339118798701
AV-MCPS,0.5,0.7572694795926876,1.0824650358828816
AV-MCPS,1.0,0.9672355194848091,1.2578960838297775
AV-MCPS,3.0,1.995061417647067,4.826346528878062
Block Bootstrapping,0.2,0.2564730061681099,0.04811771103928379
Block Bootstrapping,0.5,0.40522347939647635,0.060400083996890834
Block Bootstrapping,1.0,0.5727633154696143,0.07945015276447767
Block Bootstrapping,3.0,0.99572920720324,0.16060819416372873
DeepAR,0.2,0.40794327394057467,0.534919891633009
DeepAR,0.5,0.6805671914137813,0.9012143223706518
DeepAR,1.0,0.9983885258608961,2.1874758877041085
DeepAR,3.0,1.7659351910610808,3.035845098369281
EnCQR-LSTM,0.2,0.7129027675681883,1.5022036615068328
EnCQR-LSTM,0.5,1.1263163311772515,2.0604448214088142
EnCQR-LSTM,1.0,1.4962164843229433,2.9748836813103074
EnCQR-LSTM,3.0,2.5394002149236234,3.702394537774682
LSPM,0.2,0.38906723001104837,0.24796814898248679
LSPM,0.5,0.6054629310474016,0.3642109403442506
LSPM,1.0,0.836717434916186,0.46494658271673617
LSPM,3.0,1.4132081808658634,0.8049920900922262
LSPMW,0.2,0.4006948266575295,0.23341191601813738
LSPMW,0.5,0.6172069627720048,0.3571010510866802
LSPMW,1.0,0.8709931811195273,0.4654279025245834
LSPMW,3.0,1.4488231104750173,0.7964668935705584
MCPS,0.2,0.48114130629859003,0.8644599045335589
MCPS,0.5,0.8819313805728607,1.8260830475676448
MCPS,1.0,1.0440619579015904,1.6614881326118747
MCPS,3.0,2.172706353326684,4.8456373785092755
Sieve Bootstrap,0.2,0.2934685262401715,0.2734926176518365
Sieve Bootstrap,0.5,0.4465481108152502,0.21537621017211397
Sieve Bootstrap,1.0,0.6012121832375142,0.16012647189475404
Sieve Bootstrap,3.0,1.1187580125534946,1.3546708877474476
