Modelo,Paso,ECRPS_Mean,ECRPS_Std,ECRPS_CV
AREPD,1,2.9908823632164596,9.349640274298755,3.1260474799296185
AREPD,2,3.08362084801726,9.328893823235806,3.0253050822490706
AREPD,3,3.1286680832479066,9.621685160491415,3.0753294707129917
AREPD,4,3.1071291285316964,9.642231604951684,3.1032606647758514
AREPD,5,3.10474908780417,9.740461662646451,3.1372782106316297
AV-MCPS,1,0.7399339339903226,1.594924676873966,2.155496056617976
AV-MCPS,2,1.0434957698891276,2.842716286952953,2.7242240639413366
AV-MCPS,3,1.1013707426223618,3.0035685142202717,2.7271184878842707
AV-MCPS,4,1.1807079527194684,2.940455299745305,2.4904171204849552
AV-MCPS,5,1.1231380550163161,2.511777359955696,2.236392355095836
Block Bootstrapping,1,0.54801982562093,0.2786368222020681,0.5084429598625572
Block Bootstrapping,2,0.5640507191670626,0.31146906547353664,0.5522004580252731
Block Bootstrapping,3,0.5602852298315851,0.30163850885561205,0.5383659836013898
Block Bootstrapping,4,0.5605375832420643,0.2902199650386813,0.517752910268912
Block Bootstrapping,5,0.5548429024351587,0.28447499846118024,0.5127126925705339
DeepAR,1,0.9083303421744001,1.7271520766995767,1.9014580890967994
DeepAR,2,0.9191567078220587,1.5070947498109577,1.6396494057928575
DeepAR,3,1.0140318439680653,2.373153201837127,2.3403142770651137
DeepAR,4,0.9779718053921621,2.0067508393134217,2.051951629125672
DeepAR,5,0.9965520284887294,2.2922740017886216,2.300205043247821
EnCQR-LSTM,1,1.438257254432511,2.648097315793703,1.8411847446850218
EnCQR-LSTM,2,1.4674895894075175,2.6541613383766656,1.8086406592146616
EnCQR-LSTM,3,1.4997408075202276,2.899814537965376,1.9335437986515311
EnCQR-LSTM,4,1.475856638382577,2.862949240605102,1.9398559224171459
EnCQR-LSTM,5,1.4622004577471748,2.8236827456889313,1.9311187674222208
LSPM,1,0.829611478575935,0.6636351587774536,0.7999348802605925
LSPM,2,0.8015948185754396,0.590959204201132,0.7372293214810941
LSPM,3,0.8218987101445586,0.6520005460944127,0.793285763862236
LSPM,4,0.8300411743698073,0.6346940886805496,0.7646537404152617
LSPM,5,0.7724235393848834,0.6590246334941688,0.8531907689128436
LSPMW,1,0.8000589130596611,0.6035670690526767,0.7544032810589638
LSPMW,2,0.8423002015017295,0.6065180308607535,0.7200734723551033
LSPMW,3,0.8568155619623194,0.6736200562599978,0.7861902679699716
LSPMW,4,0.8726388192776253,0.6459853139198635,0.7402665337013236
LSPMW,5,0.8003341054787634,0.6732562672061385,0.8412190141558364
MCPS,1,0.9907928902909331,2.675108719992704,2.6999676180631393
MCPS,2,1.171716991739026,2.704163545532874,2.3078640700767155
MCPS,3,1.1765726735502833,2.8478780426003816,2.420486304519524
MCPS,4,1.179812479940424,2.872163667713419,2.4344238737485235
MCPS,5,1.2059062121039907,3.0055137210453697,2.4923279197654473
Sieve Bootstrap,1,0.5847951586923017,0.36742554382316195,0.6282978550041112
Sieve Bootstrap,2,0.5997850233828772,0.3541863425515969,0.5905221516768341
Sieve Bootstrap,3,0.609728593010238,0.3921875784804892,0.6432166425790433
Sieve Bootstrap,4,0.6786881328836195,1.5438944799563483,2.2748216819360434
Sieve Bootstrap,5,0.6019866330890018,0.39774978564664004,0.660728600576475
